tcc_track_id,basin,year,issue_time_utc,current_lat,current_lon,linked_ibtracs_sid,first_34kt_time_utc,label_24h,label_48h,input_times_utc,split
6,UNKNOWN,1982,1982-01-03T18:00:00Z,-14.9,109.0,,,0,,1982-01-02T18:00:00Z|1982-01-02T21:00:00Z|1982-01-03T00:00:00Z|1982-01-03T03:00:00Z|1982-01-03T06:00:00Z|1982-01-03T09:00:00Z|1982-01-03T12:00:00Z|1982-01-03T15:00:00Z|1982-01-03T18:00:00Z,train
6,UNKNOWN,1982,1982-01-03T21:00:00Z,-14.8,108.9,,,0,,1982-01-02T21:00:00Z|1982-01-03T00:00:00Z|1982-01-03T03:00:00Z|1982-01-03T06:00:00Z|1982-01-03T09:00:00Z|1982-01-03T12:00:00Z|1982-01-03T15:00:00Z|1982-01-03T18:00:00Z|1982-01-03T21:00:00Z,train
24,UNKNOWN,1982,1982-01-08T00:00:00Z,8.2,145.0,,,0,0.0,1982-01-07T00:00:00Z|1982-01-07T03:00:00Z|1982-01-07T06:00:00Z|1982-01-07T09:00:00Z|1982-01-07T12:00:00Z|1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z,train
24,UNKNOWN,1982,1982-01-08T03:00:00Z,8.9,145.5,,,0,0.0,1982-01-07T03:00:00Z|1982-01-07T06:00:00Z|1982-01-07T09:00:00Z|1982-01-07T12:00:00Z|1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z,train
24,UNKNOWN,1982,1982-01-08T06:00:00Z,9.7,145.4,,,0,0.0,1982-01-07T06:00:00Z|1982-01-07T09:00:00Z|1982-01-07T12:00:00Z|1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z,train
24,UNKNOWN,1982,1982-01-08T09:00:00Z,10.1,145.1,,,0,,1982-01-07T09:00:00Z|1982-01-07T12:00:00Z|1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z,train
24,UNKNOWN,1982,1982-01-08T12:00:00Z,10.6,145.1,,,0,,1982-01-07T12:00:00Z|1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z,train
24,UNKNOWN,1982,1982-01-08T15:00:00Z,10.4,143.5,,,0,,1982-01-07T15:00:00Z|1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z,train
24,UNKNOWN,1982,1982-01-08T18:00:00Z,10.2,141.9,,,0,,1982-01-07T18:00:00Z|1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z,train
24,UNKNOWN,1982,1982-01-08T21:00:00Z,10.4,141.9,,,0,,1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z,train
24,UNKNOWN,1982,1982-01-09T00:00:00Z,10.6,141.9,,,0,,1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z,train
24,UNKNOWN,1982,1982-01-09T03:00:00Z,10.6,143.1,,,0,,1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z,train
24,UNKNOWN,1982,1982-01-09T06:00:00Z,10.6,143.0,,,0,,1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z|1982-01-09T06:00:00Z,train
28,UNKNOWN,1982,1982-01-08T21:00:00Z,-6.0,89.0,,,0,,1982-01-07T21:00:00Z|1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z,train
28,UNKNOWN,1982,1982-01-09T00:00:00Z,-5.6,90.0,,,0,,1982-01-08T00:00:00Z|1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z,train
28,UNKNOWN,1982,1982-01-09T03:00:00Z,-5.1,91.0,,,0,,1982-01-08T03:00:00Z|1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z,train
28,UNKNOWN,1982,1982-01-09T06:00:00Z,-5.5,92.2,,,0,,1982-01-08T06:00:00Z|1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z|1982-01-09T06:00:00Z,train
28,UNKNOWN,1982,1982-01-09T09:00:00Z,-5.9,93.4,,,0,,1982-01-08T09:00:00Z|1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z|1982-01-09T06:00:00Z|1982-01-09T09:00:00Z,train
28,UNKNOWN,1982,1982-01-09T12:00:00Z,-6.2,94.7,,,0,,1982-01-08T12:00:00Z|1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z|1982-01-09T06:00:00Z|1982-01-09T09:00:00Z|1982-01-09T12:00:00Z,train
28,UNKNOWN,1982,1982-01-09T15:00:00Z,-6.6,95.9,,,0,,1982-01-08T15:00:00Z|1982-01-08T18:00:00Z|1982-01-08T21:00:00Z|1982-01-09T00:00:00Z|1982-01-09T03:00:00Z|1982-01-09T06:00:00Z|1982-01-09T09:00:00Z|1982-01-09T12:00:00Z|1982-01-09T15:00:00Z,train
32,UNKNOWN,1982,1982-01-10T15:00:00Z,-13.4,144.7,,,0,,1982-01-09T15:00:00Z|1982-01-09T18:00:00Z|1982-01-09T21:00:00Z|1982-01-10T00:00:00Z|1982-01-10T03:00:00Z|1982-01-10T06:00:00Z|1982-01-10T09:00:00Z|1982-01-10T12:00:00Z|1982-01-10T15:00:00Z,train
32,UNKNOWN,1982,1982-01-10T18:00:00Z,-12.8,144.7,,,0,,1982-01-09T18:00:00Z|1982-01-09T21:00:00Z|1982-01-10T00:00:00Z|1982-01-10T03:00:00Z|1982-01-10T06:00:00Z|1982-01-10T09:00:00Z|1982-01-10T12:00:00Z|1982-01-10T15:00:00Z|1982-01-10T18:00:00Z,train
32,UNKNOWN,1982,1982-01-10T21:00:00Z,-12.6,145.5,,,0,,1982-01-09T21:00:00Z|1982-01-10T00:00:00Z|1982-01-10T03:00:00Z|1982-01-10T06:00:00Z|1982-01-10T09:00:00Z|1982-01-10T12:00:00Z|1982-01-10T15:00:00Z|1982-01-10T18:00:00Z|1982-01-10T21:00:00Z,train
46,UNKNOWN,1982,1982-01-15T00:00:00Z,-26.1,178.5,,,0,0.0,1982-01-14T00:00:00Z|1982-01-14T03:00:00Z|1982-01-14T06:00:00Z|1982-01-14T09:00:00Z|1982-01-14T12:00:00Z|1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z,train
46,UNKNOWN,1982,1982-01-15T03:00:00Z,-25.7,179.0,,,0,0.0,1982-01-14T03:00:00Z|1982-01-14T06:00:00Z|1982-01-14T09:00:00Z|1982-01-14T12:00:00Z|1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z,train
46,UNKNOWN,1982,1982-01-15T06:00:00Z,-25.5,179.6,,,0,0.0,1982-01-14T06:00:00Z|1982-01-14T09:00:00Z|1982-01-14T12:00:00Z|1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z,train
46,UNKNOWN,1982,1982-01-15T09:00:00Z,-24.9,-179.9,,,0,,1982-01-14T09:00:00Z|1982-01-14T12:00:00Z|1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z,train
46,UNKNOWN,1982,1982-01-15T12:00:00Z,-25.3,-179.4,,,0,,1982-01-14T12:00:00Z|1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z,train
46,UNKNOWN,1982,1982-01-15T15:00:00Z,-25.1,-178.9,,,0,,1982-01-14T15:00:00Z|1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z,train
46,UNKNOWN,1982,1982-01-15T18:00:00Z,-24.8,-178.5,,,0,,1982-01-14T18:00:00Z|1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z|1982-01-15T18:00:00Z,train
46,UNKNOWN,1982,1982-01-15T21:00:00Z,-24.6,-178.4,,,0,,1982-01-14T21:00:00Z|1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z|1982-01-15T18:00:00Z|1982-01-15T21:00:00Z,train
46,UNKNOWN,1982,1982-01-16T00:00:00Z,-23.9,-178.5,,,0,,1982-01-15T00:00:00Z|1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z|1982-01-15T18:00:00Z|1982-01-15T21:00:00Z|1982-01-16T00:00:00Z,train
46,UNKNOWN,1982,1982-01-16T03:00:00Z,-22.8,-179.6,,,0,,1982-01-15T03:00:00Z|1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z|1982-01-15T18:00:00Z|1982-01-15T21:00:00Z|1982-01-16T00:00:00Z|1982-01-16T03:00:00Z,train
46,UNKNOWN,1982,1982-01-16T06:00:00Z,-24.4,-176.4,,,0,,1982-01-15T06:00:00Z|1982-01-15T09:00:00Z|1982-01-15T12:00:00Z|1982-01-15T15:00:00Z|1982-01-15T18:00:00Z|1982-01-15T21:00:00Z|1982-01-16T00:00:00Z|1982-01-16T03:00:00Z|1982-01-16T06:00:00Z,train
55,UNKNOWN,1982,1982-01-18T00:00:00Z,-9.5,136.1,,,0,,1982-01-17T00:00:00Z|1982-01-17T03:00:00Z|1982-01-17T06:00:00Z|1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z,train
55,UNKNOWN,1982,1982-01-18T03:00:00Z,-9.2,138.6,,,0,,1982-01-17T03:00:00Z|1982-01-17T06:00:00Z|1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z,train
55,UNKNOWN,1982,1982-01-18T06:00:00Z,-9.3,137.7,,,0,,1982-01-17T06:00:00Z|1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z,train
55,UNKNOWN,1982,1982-01-18T09:00:00Z,-9.4,136.7,,,0,,1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z|1982-01-18T09:00:00Z,train
56,UNKNOWN,1982,1982-01-18T03:00:00Z,12.7,132.2,,,0,,1982-01-17T03:00:00Z|1982-01-17T06:00:00Z|1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z,train
56,UNKNOWN,1982,1982-01-18T06:00:00Z,12.5,130.9,,,0,,1982-01-17T06:00:00Z|1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z,train
56,UNKNOWN,1982,1982-01-18T09:00:00Z,10.7,127.4,,,0,,1982-01-17T09:00:00Z|1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z|1982-01-18T09:00:00Z,train
56,UNKNOWN,1982,1982-01-18T12:00:00Z,10.6,127.7,,,0,,1982-01-17T12:00:00Z|1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z|1982-01-18T09:00:00Z|1982-01-18T12:00:00Z,train
56,UNKNOWN,1982,1982-01-18T15:00:00Z,12.4,129.3,,,0,,1982-01-17T15:00:00Z|1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z|1982-01-18T09:00:00Z|1982-01-18T12:00:00Z|1982-01-18T15:00:00Z,train
56,UNKNOWN,1982,1982-01-18T18:00:00Z,12.1,128.1,,,0,,1982-01-17T18:00:00Z|1982-01-17T21:00:00Z|1982-01-18T00:00:00Z|1982-01-18T03:00:00Z|1982-01-18T06:00:00Z|1982-01-18T09:00:00Z|1982-01-18T12:00:00Z|1982-01-18T15:00:00Z|1982-01-18T18:00:00Z,train
63,UNKNOWN,1982,1982-01-19T18:00:00Z,-8.5,164.1,,,0,0.0,1982-01-18T18:00:00Z|1982-01-18T21:00:00Z|1982-01-19T00:00:00Z|1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z,train
63,UNKNOWN,1982,1982-01-19T21:00:00Z,-7.8,163.1,,,0,0.0,1982-01-18T21:00:00Z|1982-01-19T00:00:00Z|1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z,train
63,UNKNOWN,1982,1982-01-20T00:00:00Z,-7.2,162.2,,,0,,1982-01-19T00:00:00Z|1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z,train
63,UNKNOWN,1982,1982-01-20T03:00:00Z,-6.8,161.2,,,0,,1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z,train
63,UNKNOWN,1982,1982-01-20T06:00:00Z,-6.4,160.2,,,0,,1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z,train
63,UNKNOWN,1982,1982-01-20T09:00:00Z,-5.6,159.1,,,0,,1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z,train
63,UNKNOWN,1982,1982-01-20T12:00:00Z,-4.9,157.9,,,0,,1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z|1982-01-20T12:00:00Z,train
63,UNKNOWN,1982,1982-01-20T15:00:00Z,-4.1,156.8,,,0,,1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z|1982-01-20T12:00:00Z|1982-01-20T15:00:00Z,train
63,UNKNOWN,1982,1982-01-20T18:00:00Z,-4.4,155.3,,,0,,1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z|1982-01-20T12:00:00Z|1982-01-20T15:00:00Z|1982-01-20T18:00:00Z,train
63,UNKNOWN,1982,1982-01-20T21:00:00Z,-4.6,153.8,,,0,,1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z|1982-01-20T12:00:00Z|1982-01-20T15:00:00Z|1982-01-20T18:00:00Z|1982-01-20T21:00:00Z,train
62,UNKNOWN,1982,1982-01-19T18:00:00Z,-17.0,-172.3,,,0,,1982-01-18T18:00:00Z|1982-01-18T21:00:00Z|1982-01-19T00:00:00Z|1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z,train
62,UNKNOWN,1982,1982-01-19T21:00:00Z,-18.2,-172.0,,,0,,1982-01-18T21:00:00Z|1982-01-19T00:00:00Z|1982-01-19T03:00:00Z|1982-01-19T06:00:00Z|1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z,train
66,UNKNOWN,1982,1982-01-20T09:00:00Z,-13.5,-177.2,,,0,,1982-01-19T09:00:00Z|1982-01-19T12:00:00Z|1982-01-19T15:00:00Z|1982-01-19T18:00:00Z|1982-01-19T21:00:00Z|1982-01-20T00:00:00Z|1982-01-20T03:00:00Z|1982-01-20T06:00:00Z|1982-01-20T09:00:00Z,train
82,UNKNOWN,1982,1982-01-27T12:00:00Z,-26.6,-146.0,,,0,,1982-01-26T12:00:00Z|1982-01-26T15:00:00Z|1982-01-26T18:00:00Z|1982-01-26T21:00:00Z|1982-01-27T00:00:00Z|1982-01-27T03:00:00Z|1982-01-27T06:00:00Z|1982-01-27T09:00:00Z|1982-01-27T12:00:00Z,train
82,UNKNOWN,1982,1982-01-27T15:00:00Z,-28.4,-146.0,,,0,,1982-01-26T15:00:00Z|1982-01-26T18:00:00Z|1982-01-26T21:00:00Z|1982-01-27T00:00:00Z|1982-01-27T03:00:00Z|1982-01-27T06:00:00Z|1982-01-27T09:00:00Z|1982-01-27T12:00:00Z|1982-01-27T15:00:00Z,train
82,UNKNOWN,1982,1982-01-27T18:00:00Z,-28.1,-144.5,,,0,,1982-01-26T18:00:00Z|1982-01-26T21:00:00Z|1982-01-27T00:00:00Z|1982-01-27T03:00:00Z|1982-01-27T06:00:00Z|1982-01-27T09:00:00Z|1982-01-27T12:00:00Z|1982-01-27T15:00:00Z|1982-01-27T18:00:00Z,train
82,UNKNOWN,1982,1982-01-27T21:00:00Z,-27.9,-143.1,,,0,,1982-01-26T21:00:00Z|1982-01-27T00:00:00Z|1982-01-27T03:00:00Z|1982-01-27T06:00:00Z|1982-01-27T09:00:00Z|1982-01-27T12:00:00Z|1982-01-27T15:00:00Z|1982-01-27T18:00:00Z|1982-01-27T21:00:00Z,train
82,UNKNOWN,1982,1982-01-28T00:00:00Z,-27.6,-141.6,,,0,,1982-01-27T00:00:00Z|1982-01-27T03:00:00Z|1982-01-27T06:00:00Z|1982-01-27T09:00:00Z|1982-01-27T12:00:00Z|1982-01-27T15:00:00Z|1982-01-27T18:00:00Z|1982-01-27T21:00:00Z|1982-01-28T00:00:00Z,train
103,UNKNOWN,1982,1982-02-04T06:00:00Z,-0.6,-29.2,,,0,,1982-02-03T06:00:00Z|1982-02-03T09:00:00Z|1982-02-03T12:00:00Z|1982-02-03T15:00:00Z|1982-02-03T18:00:00Z|1982-02-03T21:00:00Z|1982-02-04T00:00:00Z|1982-02-04T03:00:00Z|1982-02-04T06:00:00Z,train
