basin,year,samples,tracks,positive_24h,negative_24h,positive_48h,negative_48h,unlabeled_48h
EP,1982,41,12,39,2,40,1,0
EP,1983,19,5,18,1,19,0,0
EP,1984,19,8,16,3,18,1,0
EP,1985,14,5,13,1,14,0,0
EP,1986,6,3,4,2,4,1,1
EP,1987,19,6,18,1,19,0,0
EP,1988,7,4,4,3,4,2,1
EP,1989,3,2,2,1,2,1,0
EP,1990,3,3,0,3,2,1,0
EP,1991,10,3,10,0,10,0,0
EP,1992,21,13,15,6,19,1,1
EP,1993,20,6,19,1,19,1,0
EP,1994,18,7,15,3,18,0,0
EP,1995,5,2,5,0,5,0,0
EP,1996,9,2,9,0,9,0,0
EP,1997,15,6,13,2,15,0,0
EP,1998,10,7,4,6,6,4,0
EP,1999,5,5,0,5,1,3,1
EP,2000,12,5,9,3,11,1,0
EP,2001,9,4,9,0,9,0,0
EP,2002,19,4,18,1,19,0,0
EP,2003,7,3,6,1,6,1,0
EP,2004,6,4,4,2,5,1,0
EP,2005,7,3,6,1,6,1,0
EP,2006,16,5,15,1,15,1,0
EP,2007,22,9,18,4,19,2,1
EP,2008,20,5,20,0,20,0,0
EP,2009,2,2,0,2,0,2,0
EP,2010,4,1,4,0,4,0,0
EP,2011,3,3,0,3,1,2,0
EP,2012,7,5,4,3,6,1,0
EP,2013,12,4,11,1,12,0,0
EP,2014,3,3,0,3,2,1,0
EP,2015,7,7,1,6,5,2,0
EP,2016,14,7,11,3,14,0,0
EP,2017,19,8,14,5,18,1,0
EP,2018,6,1,6,0,6,0,0
NA,1982,6,1,6,0,6,0,0
NA,1983,6,2,6,0,6,0,0
NA,1984,7,3,6,1,7,0,0
NA,1985,8,6,3,5,6,2,0
NA,1986,11,3,10,1,11,0,0
NA,1987,5,5,0,5,2,3,0
NA,1988,12,5,11,1,11,0,1
NA,1989,3,3,0,3,3,0,0
NA,1990,3,3,0,3,1,2,0
NA,1991,6,3,4,2,6,0,0
NA,1992,6,2,5,1,5,1,0
NA,1993,3,1,3,0,3,0,0
NA,1994,2,2,0,2,1,0,1
NA,1995,22,9,19,3,20,2,0
NA,1996,12,5,9,3,10,2,0
NA,1997,1,1,0,1,1,0,0
NA,1998,8,2,8,0,8,0,0
NA,1999,8,2,8,0,8,0,0
NA,2000,16,7,13,3,15,1,0
NA,2001,15,7,11,4,13,1,1
NA,2002,7,2,6,1,7,0,0
NA,2003,10,4,8,2,8,2,0
NA,2004,28,8,26,2,27,1,0
NA,2005,28,7,27,1,28,0,0
NA,2006,9,4,8,1,9,0,0
NA,2007,7,5,4,3,6,1,0
NA,2008,25,5,25,0,25,0,0
NA,2009,11,2,11,0,11,0,0
NA,2010,20,7,17,3,18,2,0
NA,2012,14,5,11,3,14,0,0
NA,2013,24,7,21,3,23,1,0
NA,2014,10,3,9,1,9,1,0
NA,2015,15,5,13,2,13,2,0
NA,2016,22,7,19,3,21,1,0
NA,2017,4,2,3,1,3,1,0
NA,2018,3,1,3,0,3,0,0
NI,1983,1,1,1,0,1,0,0
NI,1985,1,1,0,1,0,1,0
NI,1987,1,1,0,1,1,0,0
NI,1988,1,1,0,1,0,1,0
NI,1989,1,1,0,1,1,0,0
NI,1992,2,2,0,2,0,2,0
NI,1994,1,1,0,1,1,0,0
NI,1996,1,1,0,1,0,1,0
NI,2001,1,1,0,1,1,0,0
NI,2003,1,1,0,1,0,1,0
NI,2004,2,2,0,2,0,2,0
NI,2005,3,3,0,3,2,1,0
NI,2006,2,2,1,1,2,0,0
NI,2007,1,1,0,1,0,1,0
NI,2008,1,1,0,1,0,1,0
NI,2009,5,2,4,1,5,0,0
NI,2010,2,2,0,2,1,1,0
NI,2011,3,3,0,3,2,1,0
NI,2013,1,1,0,1,1,0,0
NI,2014,2,2,0,2,2,0,0
NI,2015,1,1,1,0,1,0,0
NI,2016,9,3,8,1,9,0,0
NI,2017,2,2,1,1,2,0,0
SA,2011,1,1,0,1,0,1,0
SI,1982,4,1,4,0,4,0,0
SI,1984,1,1,0,1,0,1,0
SI,1986,6,3,4,2,6,0,0
SI,1987,3,3,0,3,0,3,0
SI,1988,2,2,0,2,0,2,0
SI,1989,5,5,0,5,1,4,0
SI,1991,5,5,1,4,1,4,0
SI,1992,2,2,0,2,2,0,0
SI,1993,2,2,0,2,0,2,0
SI,1994,3,3,0,3,0,3,0
SI,1995,3,3,0,3,0,3,0
SI,1996,4,4,0,4,2,2,0
SI,1997,1,1,0,1,1,0,0
SI,1998,1,1,0,1,0,1,0
SI,1999,2,2,0,2,1,1,0
SI,2000,3,3,0,3,1,2,0
SI,2001,3,3,0,3,1,2,0
SI,2002,1,1,0,1,1,0,0
SI,2003,3,3,0,3,1,2,0
SI,2004,2,2,0,2,2,0,0
SI,2005,1,1,0,1,0,1,0
SI,2006,3,2,2,1,2,1,0
SI,2007,3,3,1,2,2,1,0
SI,2008,2,2,0,2,1,1,0
SI,2009,3,1,3,0,3,0,0
SI,2010,8,6,3,5,7,1,0
SI,2011,5,5,0,5,2,3,0
SI,2012,3,3,0,3,3,0,0
SI,2013,5,5,0,5,3,2,0
SI,2014,6,6,0,6,4,2,0
SI,2015,15,7,11,4,14,1,0
SI,2016,9,3,9,0,9,0,0
SI,2017,2,2,0,2,0,2,0
SI,2018,3,3,0,3,3,0,0
SP,1982,2,2,1,1,2,0,0
SP,1985,2,2,0,2,0,2,0
SP,1987,2,2,0,2,0,2,0
SP,1989,2,2,0,2,0,2,0
SP,1990,2,2,0,2,1,1,0
SP,1991,1,1,0,1,0,1,0
SP,1992,1,1,0,1,1,0,0
SP,1993,3,3,0,3,0,3,0
SP,1996,3,3,0,3,2,1,0
SP,1997,2,2,0,2,0,2,0
SP,1998,4,4,0,4,3,1,0
SP,1999,4,3,2,2,3,1,0
SP,2000,4,4,1,3,4,0,0
SP,2001,2,2,0,2,2,0,0
SP,2002,1,1,0,1,1,0,0
SP,2003,1,1,0,1,1,0,0
SP,2007,1,1,0,1,0,1,0
SP,2009,2,1,2,0,2,0,0
SP,2010,1,1,0,1,1,0,0
SP,2014,3,3,0,3,1,2,0
SP,2015,3,2,2,1,3,0,0
SP,2017,6,3,5,1,6,0,0
SP,2018,2,2,1,1,2,0,0
UNKNOWN,1982,1369,225,0,1369,0,290,1079
UNKNOWN,1983,1306,212,0,1306,0,394,912
UNKNOWN,1984,1463,226,0,1463,0,427,1036
UNKNOWN,1985,1314,225,0,1314,0,333,981
UNKNOWN,1986,1459,242,0,1459,0,392,1067
UNKNOWN,1987,1367,230,0,1367,0,337,1030
UNKNOWN,1988,1145,228,0,1145,0,202,943
UNKNOWN,1989,1072,197,0,1072,0,206,866
UNKNOWN,1990,1311,231,0,1311,0,312,999
UNKNOWN,1991,1226,204,0,1226,0,286,940
UNKNOWN,1992,1090,199,0,1090,0,207,883
UNKNOWN,1993,1379,240,0,1379,0,349,1030
UNKNOWN,1994,1275,240,0,1275,0,265,1010
UNKNOWN,1995,1456,241,0,1456,0,368,1088
UNKNOWN,1996,1234,211,0,1234,0,318,916
UNKNOWN,1997,1437,230,0,1437,0,388,1049
UNKNOWN,1998,1394,245,0,1394,0,338,1056
UNKNOWN,1999,1624,275,0,1624,0,408,1216
UNKNOWN,2000,1633,271,0,1633,0,364,1269
UNKNOWN,2001,1724,291,0,1724,0,434,1290
UNKNOWN,2002,1366,250,0,1366,0,315,1051
UNKNOWN,2003,1363,253,0,1363,0,283,1080
UNKNOWN,2004,1489,262,0,1489,0,294,1195
UNKNOWN,2005,1600,258,0,1600,0,405,1195
UNKNOWN,2006,1535,246,0,1535,0,424,1111
UNKNOWN,2007,1553,257,0,1553,0,415,1138
UNKNOWN,2008,1656,278,0,1656,0,380,1276
UNKNOWN,2009,1434,259,0,1434,0,308,1126
UNKNOWN,2010,2184,310,0,2184,0,696,1488
UNKNOWN,2011,2215,311,0,2215,0,709,1506
UNKNOWN,2012,2406,358,0,2406,0,702,1704
UNKNOWN,2013,2203,323,0,2203,0,627,1576
UNKNOWN,2014,2290,345,0,2290,0,727,1563
UNKNOWN,2015,2580,342,0,2580,0,927,1653
UNKNOWN,2016,2520,372,0,2520,0,805,1715
UNKNOWN,2017,2145,312,0,2145,0,641,1504
UNKNOWN,2018,2529,335,0,2529,0,944,1585
WP,1982,1,1,0,1,1,0,0
WP,1983,2,2,0,2,0,2,0
WP,1984,1,1,0,1,0,1,0
WP,1985,1,1,1,0,1,0,0
WP,1987,3,3,0,3,0,3,0
WP,1988,4,3,2,2,2,2,0
WP,1989,3,3,0,3,0,3,0
WP,1990,5,5,0,5,3,2,0
WP,1991,6,6,0,6,0,6,0
WP,1992,4,4,0,4,0,4,0
WP,1993,6,6,0,6,0,6,0
WP,1994,2,2,0,2,0,2,0
WP,1996,2,2,0,2,0,2,0
WP,1997,4,4,0,4,0,4,0
WP,1998,4,3,2,2,2,2,0
WP,1999,3,3,0,3,0,3,0
WP,2000,9,7,4,5,8,1,0
WP,2001,10,9,2,8,6,4,0
WP,2002,4,4,0,4,1,3,0
WP,2003,3,3,0,3,2,1,0
WP,2004,8,7,3,5,6,2,0
WP,2005,3,3,0,3,1,2,0
WP,2006,3,3,0,3,1,2,0
WP,2007,3,2,2,1,2,1,0
WP,2008,3,3,0,3,2,1,0
WP,2009,5,5,0,5,3,2,0
WP,2010,5,5,0,5,1,4,0
WP,2011,10,10,0,10,4,6,0
WP,2012,15,9,8,7,12,3,0
WP,2013,8,8,2,6,7,0,1
WP,2014,7,2,6,1,6,1,0
WP,2015,17,7,12,5,15,2,0
WP,2016,24,10,18,6,21,3,0
WP,2017,9,4,8,1,9,0,0
WP,2018,19,13,8,11,15,4,0
