SID,SEASON,ISO_TIME,month
1980199N31284,1980,1980-07-17 00:00:00+00:00,1980-07-01 00:00:00+00:00
1980200N25270,1980,1980-07-17 12:00:00+00:00,1980-07-01 00:00:00+00:00
1980204N23287,1980,1980-07-22 00:00:00+00:00,1980-07-01 00:00:00+00:00
1980214N11330,1980,1980-08-01 00:00:00+00:00,1980-08-01 00:00:00+00:00
1980226N15339,1980,1980-08-13 00:00:00+00:00,1980-08-01 00:00:00+00:00
1980227N13325,1980,1980-08-14 00:00:00+00:00,1980-08-01 00:00:00+00:00
1980234N36287,1980,1980-08-20 12:00:00+00:00,1980-08-01 00:00:00+00:00
1980238N16328,1980,1980-08-25 00:00:00+00:00,1980-08-01 00:00:00+00:00
1980245N16322,1980,1980-09-01 00:00:00+00:00,1980-09-01 00:00:00+00:00
1980249N18336,1980,1980-09-04 12:00:00+00:00,1980-09-01 00:00:00+00:00
1980249N28269,1980,1980-09-04 18:00:00+00:00,1980-09-01 00:00:00+00:00
1980250N13341,1980,1980-09-06 00:00:00+00:00,1980-09-01 00:00:00+00:00
1980265N15283,1980,1980-09-20 12:00:00+00:00,1980-09-01 00:00:00+00:00
1980275N34340,1980,1980-10-04 12:00:00+00:00,1980-10-01 00:00:00+00:00
1980290N16275,1980,1980-10-16 00:00:00+00:00,1980-10-01 00:00:00+00:00
1980313N14277,1980,1980-11-08 18:00:00+00:00,1980-11-01 00:00:00+00:00
1980318N13280,1980,1980-11-12 12:00:00+00:00,1980-11-01 00:00:00+00:00
1980330N36314,1980,1980-11-25 00:00:00+00:00,1980-11-01 00:00:00+00:00
1981097N21299,1981,1981-04-06 12:00:00+00:00,1981-04-01 00:00:00+00:00
1981110N11281,1981,1981-04-19 12:00:00+00:00,1981-04-01 00:00:00+00:00
1981127N18276,1981,1981-05-06 18:00:00+00:00,1981-05-01 00:00:00+00:00
1981154N19266,1981,1981-06-03 06:00:00+00:00,1981-06-01 00:00:00+00:00
1981169N20268,1981,1981-06-17 12:00:00+00:00,1981-06-01 00:00:00+00:00
1981181N36295,1981,1981-06-29 12:00:00+00:00,1981-06-01 00:00:00+00:00
1981183N24281,1981,1981-07-02 06:00:00+00:00,1981-07-01 00:00:00+00:00
1981206N23268,1981,1981-07-25 06:00:00+00:00,1981-07-01 00:00:00+00:00
1981215N36292,1981,1981-08-02 18:00:00+00:00,1981-08-01 00:00:00+00:00
1981219N11334,1981,1981-08-07 06:00:00+00:00,1981-08-01 00:00:00+00:00
1981229N13327,1981,1981-08-17 06:00:00+00:00,1981-08-01 00:00:00+00:00
1981239N21267,1981,1981-08-26 18:00:00+00:00,1981-08-01 00:00:00+00:00
