dataset,train_end_year,validation_end_year,horizon_hours,model,origins,storms,track_error_km,wind_mae,wind_rmse,ridge_alpha,gru_hidden_size,gru_epochs_trained,gru_validation_mse,gru_seed,torch_version
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,persistence,1772,107,123.51703550651551,4.410270880361174,7.23770070619222,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,constant-motion,1772,107,28.274275233627044,4.410270880361174,7.23770070619222,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,ridge,1772,107,26.400641303547417,4.020238244334768,5.9412152374704075,0.1,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,gru,1772,107,27.745004576363552,3.8116026764514603,5.462466377751607,,32,84,0.23405471444129944,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,persistence,1465,89,462.78453855346777,14.150170648464163,20.457230836928012,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,constant-motion,1465,89,179.4257186550861,14.150170648464163,20.457230836928012,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,ridge,1465,89,153.49003845940666,12.821540423003913,18.297240635797056,0.1,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,gru,1465,89,152.8101033941434,11.447201391204016,16.17726114299924,,32,46,0.3429769277572632,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,persistence,1115,81,860.5282618870364,20.730941704035875,28.38042336705486,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,constant-motion,1115,81,463.2535396553537,20.730941704035875,28.38042336705486,,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,ridge,1115,81,363.50877946667225,18.29529211314861,24.361988076718283,0.1,,,,,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,gru,1115,81,361.4068037603063,16.363731298487743,21.720477857562553,,16,30,0.46701130270957947,42,2.12.1
