dataset,train_end_year,validation_end_year,horizon_hours,history_hours,history_states,split,selected_by_validation_track,origins,storms,track_error_km,wind_mae,wind_rmse,gru_hidden_size,gru_epochs_trained,gru_validation_mse,gru_seed,torch_version
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,6,2,validation_common,,968,54,27.315214787924507,3.4464531170067314,5.026601934884698,32,83,0.24948175251483917,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,6,2,test_common,,1373,89,28.22220345051828,3.959129379824559,5.76099448664238,32,83,0.24948175251483917,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,12,3,validation_common,,968,54,26.74250853266662,3.4367042085114985,4.935868440006954,16,99,0.2366892695426941,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,12,3,test_common,,1373,89,27.39030544995944,3.9612956327173934,5.717872697598021,16,99,0.2366892695426941,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,24,5,validation_common,,968,54,26.724929867582425,3.39357632822777,4.892311824463303,32,84,0.23405471444129944,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,24,5,test_common,,1373,89,27.874962027456405,3.9498977058221647,5.638966424947014,32,84,0.23405471444129944,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,36,7,validation_common,,968,54,26.75567134887232,3.4405302407690055,4.953621552732885,32,57,0.2369171380996704,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,36,7,test_common,,1373,89,27.1864973641284,3.973370126456974,5.6985522496762675,32,57,0.2369171380996704,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,48,9,validation_common,yes,968,54,26.469089094596733,3.4432070640707555,4.944427238690068,32,61,0.23492440581321716,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,48,9,test_common,yes,1373,89,27.114764842995015,4.013556881451852,5.796810984944895,32,61,0.23492440581321716,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,6,2,validation_common,,805,45,165.78055841764646,10.228366660387204,13.731006770301748,32,71,0.36022841930389404,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,6,2,test_common,,1109,80,164.8622056628668,11.422509453699833,15.95074490665147,32,71,0.36022841930389404,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,12,3,validation_common,,805,45,161.39068602709696,10.150022680229084,13.684825623849605,32,57,0.3411487340927124,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,12,3,test_common,,1109,80,155.75697863611632,11.300573421922621,15.781955080507343,32,57,0.3411487340927124,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,24,5,validation_common,,805,45,154.9490132337973,10.497239924633348,14.054990512293625,32,46,0.3429769277572632,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,24,5,test_common,,1109,80,155.73326647100174,11.387050229926496,15.946770582693322,32,46,0.3429769277572632,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,36,7,validation_common,yes,805,45,154.43420858823106,10.644229816041804,14.326826488162048,32,19,0.3420619070529938,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,36,7,test_common,yes,1109,80,153.861942831599,11.355867042570663,15.960228785534403,32,19,0.3420619070529938,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,48,9,validation_common,,805,45,159.86822765581294,10.732988889528443,14.176900322912378,16,32,0.3256089985370636,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,48,9,test_common,,1109,80,156.8132810365957,11.661506986715748,16.13066880262279,16,32,0.3256089985370636,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,6,2,validation_common,,633,37,418.8195532233353,15.490564216270718,20.157421836813917,32,14,0.49879494309425354,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,6,2,test_common,,818,61,361.74686109273557,16.114240875905534,21.104348831738722,32,14,0.49879494309425354,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,12,3,validation_common,,633,37,411.12588038055065,15.523265069355006,20.008898117864685,16,31,0.4809161126613617,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,12,3,test_common,,818,61,358.40936561821275,15.944971839801076,20.970434464127926,16,31,0.4809161126613617,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,24,5,validation_common,,633,37,412.62888051089766,15.800430222020438,20.102938305860775,16,30,0.46701130270957947,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,24,5,test_common,,818,61,365.2791127329984,15.719532198191178,20.841164665422262,16,30,0.46701130270957947,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,36,7,validation_common,,633,37,414.62730996212997,15.325522645692788,19.893312152043773,16,15,0.46467411518096924,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,36,7,test_common,,818,61,360.9856407110849,15.522517348713974,20.92623853450305,16,15,0.46467411518096924,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,48,9,validation_common,yes,633,37,410.6746994968423,15.399273179895749,19.948464128759237,16,23,0.46246734261512756,42,2.12.1
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,48,9,test_common,yes,818,61,361.76801491595546,15.51643433056385,21.050999520654074,16,23,0.46246734261512756,42,2.12.1
