dataset,train_end_year,validation_end_year,horizon_hours,model,ridge_alpha,origins,storms,track_error_km,wind_mae,wind_rmse
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,persistence,-,1772,107,123.51703550651551,4.410270880361174,7.23770070619222
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,constant-motion,-,1772,107,28.274275233627044,4.410270880361174,7.23770070619222
IBTrACS v04r01 NA / hurdat_atl,2015,2019,6,ridge,0.1,1772,107,26.400641303547417,4.020238244334768,5.9412152374704075
IBTrACS v04r01 NA / hurdat_atl,2015,2019,12,persistence,-,1661,97,241.54007981296823,8.320288982540639,12.7673103795873
IBTrACS v04r01 NA / hurdat_atl,2015,2019,12,constant-motion,-,1661,97,69.46126652847754,8.320288982540639,12.7673103795873
IBTrACS v04r01 NA / hurdat_atl,2015,2019,12,ridge,0.1,1661,97,62.39323377800843,7.410819007545444,11.101960928318302
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,persistence,-,1465,89,462.78453855346777,14.150170648464163,20.457230836928012
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,constant-motion,-,1465,89,179.4257186550861,14.150170648464163,20.457230836928012
IBTrACS v04r01 NA / hurdat_atl,2015,2019,24,ridge,0.1,1465,89,153.49003845940666,12.821540423003913,18.297240635797056
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,persistence,-,1115,81,860.5282618870364,20.730941704035875,28.38042336705486
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,constant-motion,-,1115,81,463.2535396553537,20.730941704035875,28.38042336705486
IBTrACS v04r01 NA / hurdat_atl,2015,2019,48,ridge,0.1,1115,81,363.50877946667225,18.29529211314861,24.361988076718283
