SID,SEASON,NAME,ISO_TIME,USA_LAT,USA_LON,USA_WIND
1984299N26289,1984,UNNAMED,1984-10-25 06:00:00+00:00,26.2,-71.4,20.0
1984299N26289,1984,UNNAMED,1984-10-25 12:00:00+00:00,26.8,-73.0,25.0
1984299N26289,1984,UNNAMED,1984-10-25 18:00:00+00:00,27.0,-74.6,25.0
1984299N26289,1984,UNNAMED,1984-10-26 00:00:00+00:00,26.9,-76.2,30.0
1984299N26289,1984,UNNAMED,1984-10-26 06:00:00+00:00,26.9,-77.9,30.0
1984299N26289,1984,UNNAMED,1984-10-26 12:00:00+00:00,27.0,-79.2,30.0
1984299N26289,1984,UNNAMED,1984-10-26 18:00:00+00:00,27.2,-81.1,25.0
1984299N26289,1984,UNNAMED,1984-10-27 00:00:00+00:00,27.8,-83.0,25.0
1984299N26289,1984,UNNAMED,1984-10-27 06:00:00+00:00,28.0,-84.8,25.0
1984299N26289,1984,UNNAMED,1984-10-27 12:00:00+00:00,28.5,-86.5,30.0
1984299N26289,1984,UNNAMED,1984-10-27 18:00:00+00:00,29.5,-87.8,30.0
1987282N15277,1987,FLOYD,1987-10-09 06:00:00+00:00,15.0,-82.6,25.0
1987282N15277,1987,FLOYD,1987-10-09 12:00:00+00:00,14.5,-82.5,25.0
1987282N15277,1987,FLOYD,1987-10-09 18:00:00+00:00,14.1,-82.1,25.0
1987282N15277,1987,FLOYD,1987-10-10 00:00:00+00:00,14.4,-81.8,25.0
1987282N15277,1987,FLOYD,1987-10-10 06:00:00+00:00,15.3,-82.2,30.0
1987282N15277,1987,FLOYD,1987-10-10 12:00:00+00:00,16.0,-82.2,35.0
1987282N15277,1987,FLOYD,1987-10-10 18:00:00+00:00,16.8,-83.5,35.0
1987282N15277,1987,FLOYD,1987-10-11 00:00:00+00:00,17.6,-83.9,40.0
1987282N15277,1987,FLOYD,1987-10-11 06:00:00+00:00,18.4,-84.2,40.0
1987282N15277,1987,FLOYD,1987-10-11 12:00:00+00:00,19.4,-84.5,45.0
1987282N15277,1987,FLOYD,1987-10-11 18:00:00+00:00,20.5,-84.5,50.0
1987282N15277,1987,FLOYD,1987-10-12 00:00:00+00:00,21.7,-84.3,55.0
1987282N15277,1987,FLOYD,1987-10-12 06:00:00+00:00,23.0,-84.0,60.0
1987282N15277,1987,FLOYD,1987-10-12 12:00:00+00:00,24.0,-82.9,65.0
1987282N15277,1987,FLOYD,1987-10-12 18:00:00+00:00,24.7,-81.5,65.0
1987282N15277,1987,FLOYD,1987-10-13 00:00:00+00:00,25.3,-79.9,60.0
1987282N15277,1987,FLOYD,1987-10-13 06:00:00+00:00,26.0,-78.3,50.0
1987282N15277,1987,FLOYD,1987-10-13 12:00:00+00:00,27.0,-76.9,45.0
2002258N10300,2002,ISIDORE,2002-09-14 18:00:00+00:00,10.0,-60.5,25.0
2002258N10300,2002,ISIDORE,2002-09-15 00:00:00+00:00,10.2,-62.4,25.0
2002258N10300,2002,ISIDORE,2002-09-15 06:00:00+00:00,10.6,-64.3,25.0
2002258N10300,2002,ISIDORE,2002-09-15 12:00:00+00:00,11.2,-66.4,25.0
2002258N10300,2002,ISIDORE,2002-09-17 12:00:00+00:00,15.9,-76.8,30.0
2002258N10300,2002,ISIDORE,2002-09-17 18:00:00+00:00,16.3,-77.4,30.0
2002258N10300,2002,ISIDORE,2002-09-18 00:00:00+00:00,16.7,-77.7,30.0
2002258N10300,2002,ISIDORE,2002-09-18 06:00:00+00:00,17.1,-78.1,35.0
2002258N10300,2002,ISIDORE,2002-09-18 12:00:00+00:00,17.7,-78.5,40.0
2002258N10300,2002,ISIDORE,2002-09-18 18:00:00+00:00,18.7,-78.6,45.0
2002258N10300,2002,ISIDORE,2002-09-19 00:00:00+00:00,19.3,-79.3,50.0
2002258N10300,2002,ISIDORE,2002-09-19 06:00:00+00:00,19.7,-80.4,50.0
2002258N10300,2002,ISIDORE,2002-09-19 12:00:00+00:00,19.9,-80.9,60.0
2002258N10300,2002,ISIDORE,2002-09-19 18:00:00+00:00,20.4,-81.7,65.0
2002258N10300,2002,ISIDORE,2002-09-20 00:00:00+00:00,20.7,-82.3,75.0
2002258N10300,2002,ISIDORE,2002-09-20 06:00:00+00:00,21.1,-83.0,90.0
2002258N10300,2002,ISIDORE,2002-09-20 12:00:00+00:00,21.5,-83.5,85.0
2002258N10300,2002,ISIDORE,2002-09-20 18:00:00+00:00,21.8,-84.0,75.0
2002258N10300,2002,ISIDORE,2002-09-21 00:00:00+00:00,22.1,-84.3,75.0
2002258N10300,2002,ISIDORE,2002-09-21 06:00:00+00:00,22.3,-85.1,85.0
2002258N10300,2002,ISIDORE,2002-09-21 12:00:00+00:00,22.0,-85.8,100.0
2002258N10300,2002,ISIDORE,2002-09-21 18:00:00+00:00,21.9,-86.1,110.0
