horizon_hours,target,count,mean,std,min,5%,25%,50%,75%,95%,max
6,north_displacement_km,9433.0,61.62310781299692,67.9989280292035,-189.24399999999991,-33.39600000000008,22.26399999999992,55.66,89.05600000000047,178.11200000000014,612.26
6,east_displacement_km,9433.0,-19.621140920956563,112.99211790882278,-376.78043871965053,-181.8216902493985,-97.69052508196671,-31.547965578007187,44.800388760830174,188.74483637656317,547.2480170602825
6,wind_change_kt,9433.0,-0.19293967984734442,6.405084800384323,-65.0,-10.0,-5.0,0.0,5.0,10.0,55.0
12,north_displacement_km,8899.0,121.93411619283064,129.48714829085404,-367.35600000000005,-55.66,44.52799999999984,100.18800000000023,189.24399999999991,356.2239999999999,1146.5960000000005
12,east_displacement_km,8899.0,-41.50447875984078,218.94562157034952,-651.2565138006279,-356.4594135203254,-195.7458167076307,-66.75885594003904,84.41642018977203,358.67025876327983,1075.7396685171764
12,wind_change_kt,8899.0,-0.2848634678053714,11.066437787442686,-95.0,-15.0,-5.0,0.0,5.0,15.0,75.0
24,north_displacement_km,7889.0,238.13646647230317,238.09134810545905,-667.92,-111.32,89.05600000000007,211.50799999999984,367.35600000000005,667.92,1948.1
24,east_displacement_km,7889.0,-93.77329634041632,411.118256724389,-1170.3823968676713,-696.4883516002883,-382.9600581135953,-135.01330374580664,150.14445106125092,662.4340143742742,1922.6747836715497
24,wind_change_kt,7889.0,-0.15274432754468248,18.01611763985366,-110.0,-30.0,-10.0,0.0,10.0,30.0,95.0
48,north_displacement_km,6178.0,453.70557979928776,412.24621881158856,-1068.672,-166.98,178.11200000000014,411.8839999999999,701.3159999999998,1179.9920000000002,2849.792
48,east_displacement_km,6178.0,-225.35713677491466,728.4786264045505,-2227.9486695856413,-1330.6920417313295,-749.4461374000696,-290.7978849909668,238.4870272501162,1091.2548167192238,2767.272524466672
48,wind_change_kt,6178.0,0.2128520556814503,26.726130982812887,-125.0,-40.0,-15.0,0.0,15.0,45.0,120.0
