model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,6,Cat 1 (64-82),334,51,31.28720886371953,24.103705043250947,62.083732684141,80.33475040728253,5.434131736526946,7.915156384987122,-0.5239520958083832,31.794971561425072,6.905136802195626,28.165589971677438,35.95022407307635,5.871600458365164,7.976647249809013
constant-motion,6,Cat 2 (83-95),134,34,34.14700262257461,24.390925315647927,70.17305451407779,97.37281989864482,7.574626865671642,10.69418868553342,-0.11194029850746269,33.00454307044244,11.760912698412698,26.50517383044921,39.77231600753566,9.125701739028946,14.659955648926237
constant-motion,6,Cat 3 (96-112),97,23,20.71590683300051,15.37304515778527,38.18926812006099,50.6263862203365,7.783505154639175,12.487106752628744,2.0103092783505154,25.108851645314022,13.343685300207039,19.86761604965638,31.329359048894467,9.300569358178054,17.813224637681156
constant-motion,6,Major (>=113),128,19,26.578425521679332,22.966908770060286,52.102120663089536,62.5133233839159,7.578125,11.50747039970123,2.578125,27.790570122986125,11.170175438596493,22.337092122099673,33.865042719077444,7.628859649122808,15.288925438596491
constant-motion,6,TD (<34),156,37,28.497745179432407,23.796676883834813,54.36996585944377,68.7243209824155,1.314102564102564,2.802242691589025,-0.3525641025641026,32.33373091804333,2.0172282672282673,25.45393992521838,40.4641651614245,1.3995740464490467,2.7268749268749266
constant-motion,6,TS (34-63),923,102,27.32314184670893,23.26083766019899,54.83061349064635,67.46790822770734,3.3098591549295775,5.021621722484379,-0.26543878656554715,28.002218573852296,4.26528479196102,25.46700318568554,30.875947134286353,3.718341543636392,4.827054225240413
constant-motion,12,Cat 1 (64-82),315,51,77.75978296573821,60.32590905395261,162.28000127083908,224.82090012921967,10.73015873015873,14.917763992625789,-1.9365079365079365,78.55723402902778,14.3554812347382,67.2146017423863,91.04659941764619,12.167462279149584,16.717568896245364
constant-motion,12,Cat 2 (83-95),132,34,87.04603462160642,67.046993108375,204.21057212449517,238.68964232920868,13.295454545454545,18.834405976426453,1.0984848484848484,88.31353375871181,19.587588881706527,71.57398666504078,107.66367963544776,14.712450172376641,24.78966346153846
constant-motion,12,Cat 3 (96-112),96,23,51.41551127888865,39.15401786599778,99.19819820788842,113.17311165396592,13.333333333333334,18.99835519196333,4.6875,63.88092808218971,22.930124223602483,52.369705409126105,74.84998972008715,16.629011387163562,30.05241977225673
constant-motion,12,Major (>=113),127,19,61.43309103998874,52.63593818615337,112.38566356497661,145.79770707591913,14.448818897637794,21.282686764257747,8.779527559055119,65.99150354102154,21.319005847953218,49.87184574513397,83.53814866356107,14.368157894736843,29.969722222222213
constant-motion,12,TD (<34),127,30,68.37390308542577,59.56047512473749,133.79860394077494,138.91441317746532,2.677165354330709,4.695449296338763,-1.5748031496062993,71.841980671115,3.4949735449735453,58.17316773383604,87.49760067815498,2.325099206349207,4.925727513227512
constant-motion,12,TS (34-63),864,94,67.09418768847297,56.07818298039204,133.80178048204274,158.87312820982783,6.0532407407407405,8.253085842636434,-1.2268518518518519,65.7694822180128,7.378576892525513,60.42991794995084,71.35814951966196,6.546925735913401,8.251682971346845
constant-motion,24,Cat 1 (64-82),281,48,202.92741757768508,159.36034143342187,430.50904148716654,561.6323198801092,18.87900355871886,24.989321562835965,-4.572953736654804,196.46121374267986,25.89269650896489,169.02707053919352,225.1782081996946,21.756474095502128,30.243841502400787
constant-motion,24,Cat 2 (83-95),111,31,210.97824927308977,171.6022544627104,454.6915236947545,525.3724988121709,17.882882882882882,22.942348427119473,4.009009009009009,232.53560563186412,23.456453940324906,187.17207205182908,282.1586549568196,18.68433761578923,28.6046176046176
constant-motion,24,Cat 3 (96-112),92,20,140.4249421570136,119.69382742104241,278.3203095599969,312.34951942620916,17.98913043478261,23.973490794408004,7.336956521739131,179.37092826364622,27.342261904761905,142.86466378146798,222.57422555586137,19.67842261904762,36.039434523809526
constant-motion,24,Major (>=113),123,18,162.75897821800842,143.36814265957304,299.23662635231966,334.24709026376104,26.382113821138212,36.05269404590286,21.097560975609756,163.70131353976856,35.06393298059965,127.869498523907,201.1684157923116,25.025435405643737,47.08680555555554
constant-motion,24,TD (<34),93,24,177.89972455422387,156.801525407003,343.24754501511273,382.3002773036541,6.182795698924731,8.471965152689611,-4.78494623655914,169.4440103520403,7.396825396825396,130.01259380761454,215.2446977593398,5.08195064484127,9.812679811507932
constant-motion,24,TS (34-63),765,85,173.77041103039937,149.12546193505716,340.456592537923,419.91352148934396,10.411764705882353,14.451858328613895,-3.7450980392156863,170.2227208868894,14.108036439264064,153.94561034619485,187.87716096599718,11.87574014213976,16.482781976158243
constant-motion,48,Cat 1 (64-82),208,41,481.4324102177874,419.3513697254767,894.035515943271,1145.1752841732148,22.403846153846153,28.806382839705723,-6.634615384615385,478.8510766378197,29.25379058610766,397.2921229615433,559.5996654845106,23.880427397805445,35.08380169119498
constant-motion,48,Cat 2 (83-95),77,25,536.7517847145156,450.07635925533856,1001.9757340973507,1192.0667021997376,24.350649350649352,29.415297725158933,9.675324675324676,535.9565651639588,31.183333333333334,418.65418842730725,664.4232165232955,24.35083333333333,38.06708333333334
constant-motion,48,Cat 3 (96-112),79,17,366.02767872778605,300.1028001045296,597.067855112902,874.2098801245318,20.379746835443036,26.457513110645905,13.544303797468354,485.5204595779481,28.61764705882353,374.88736771042295,616.3312183392404,19.369572829131652,40.22696078431371
constant-motion,48,Major (>=113),106,18,494.12258787401834,477.17815279048784,909.9120499402313,1053.3532285076033,37.264150943396224,45.45887629453971,33.301886792452834,495.9746936988787,46.93611111111111,358.542412038816,641.623901908247,33.99569444444444,60.59456018518518
constant-motion,48,TD (<34),59,19,443.1040131268892,430.70661094534296,784.1511580672841,903.5533557554043,10.932203389830509,14.570111035720364,-10.59322033898305,429.8449716205141,11.091478696741854,342.3792386239148,521.4638061187374,7.207753759398497,15.346538220551373
constant-motion,48,TS (34-63),586,76,456.69547825729416,373.1261325104968,888.8314987943343,1080.8285452450018,17.704778156996586,25.19463483707154,-9.479522184300341,428.4168285313831,22.21839163022127,378.2446730266993,478.5739668583524,17.992216080382207,26.687279663154523
gru,6,Cat 1 (64-82),334,51,29.415214996893056,23.372841408230748,59.895473231992966,69.88708720496983,4.265189107503416,5.853579927761298,0.4198143223933522,30.742865745920934,5.419969594079742,27.46564098306648,33.97650105292699,4.544427332303329,6.441273445892939
gru,6,Cat 2 (83-95),134,34,31.403635737280116,25.497196176039893,54.63049519121868,75.33936829782931,5.152723187396047,6.919262726659511,-0.5372695463925798,31.051735823330265,7.515964925005904,26.10767439719775,37.120736292184226,5.758212308116111,9.569754812843406
gru,6,Cat 3 (96-112),97,23,23.594708892140318,20.205631790721576,40.38022046472166,50.43859700067497,5.888224314134944,8.471811320079738,1.2553603563877178,29.232619016936386,8.47991586392892,23.455002576432094,35.049123292776464,6.25036149248272,11.091623115314395
gru,6,Major (>=113),128,19,25.61079962674286,21.068737937778,42.27565328689709,54.13864265757091,6.653101176860462,9.35558192311638,-0.1880021333794708,26.338851657675626,9.629923665391251,22.414406863701018,31.02236246316042,6.5330460285623495,13.68426812097306
gru,6,TD (<34),156,37,28.35863746124377,22.83800888331376,54.933337698399605,66.57170560501446,2.0615544208002254,2.9894248175123828,-1.0459824971540865,31.80085495710577,2.491485000161031,25.574232145774833,38.74752160027463,1.9990128636803253,3.062315506480174
gru,6,TS (34-63),923,102,27.23787925551861,23.173975770833064,51.12562620268081,63.81139489853957,3.13625641917737,4.09195016184045,0.1451501583857918,28.238569159217658,3.5796818612592576,25.872353476000328,30.88460771600346,3.230762858324017,3.9498897138407036
gru,12,Cat 1 (64-82),315,51,66.74574414789241,53.0487736367267,125.28678072940997,161.42458940274543,8.216082607424136,11.541029563030056,0.04801269775174142,70.61855736308567,11.147307322018744,61.71876007952669,79.93881346798103,9.203085421837656,13.274113249292421
gru,12,Cat 2 (83-95),132,34,73.43917145371492,57.782630770405824,148.81448469555653,194.90004948933986,8.56709694937248,13.088893063059498,-0.6430198235529165,75.15839943448472,13.287857388456311,62.35670101864926,89.75854343854907,9.209585150380066,17.960978473457182
gru,12,Cat 3 (96-112),96,23,49.388697110762905,41.19872095129581,91.7164670392554,108.14547297167496,10.010342366635816,13.527277548241596,1.140153145839183,58.729492011207086,14.665760092722689,48.65896628766082,69.76824259173024,11.620011649499139,18.016714149888497
gru,12,Major (>=113),127,19,58.01994661624493,51.99372831502973,96.21753718355906,131.07243934723226,11.838966889700757,16.047888247988666,-0.9569608688191951,63.39285722029002,15.416442334470595,49.982130390387496,79.36927433476502,10.866086188628932,20.738355374289267
gru,12,TD (<34),127,30,64.72531124066431,56.22234520167342,123.42680397966959,141.89782661435174,3.4037080314109303,4.69142560513625,-1.691070781475706,65.471745597257,3.8967201368591913,53.423860801178066,79.16712089842646,2.845656293377754,5.163525400548763
gru,12,TS (34-63),864,94,63.9729382318015,54.54971142396765,122.31642758358804,146.1873879735783,5.447253234908364,7.09590586613942,-0.12173861558443322,63.12687464982054,6.184833444545108,58.23988720475795,68.59824344519063,5.553012158733902,6.9224397157965525
gru,24,Cat 1 (64-82),281,48,170.63276467238404,139.96006721623053,289.569457044993,468.32558364083,14.910188541518602,20.72774469909129,-3.295970792010509,172.5310314084696,19.70159888647302,146.2976026027986,203.64855424504256,15.927900646485488,24.282200701323735
gru,24,Cat 2 (83-95),111,31,167.39425967898154,128.90795520709327,330.9876624302361,403.6517326530917,13.994778116494647,19.729086163546356,-1.7856809878757833,191.59561472001243,18.986608203684813,155.67300825492765,230.4420229111724,13.852350604608983,24.779611988147437
gru,24,Cat 3 (96-112),92,20,113.2131034087394,114.30027415723745,196.50946180769034,218.61907996788318,12.879224768022702,18.69582161721872,-3.3017168795880947,134.76749672391946,16.578697229419994,109.7332626799574,163.7665999838157,11.570874436674089,23.062188883250194
gru,24,Major (>=113),123,18,126.23287086192137,115.08780914135802,222.21190068743354,259.21896218117524,17.417514141012507,22.83764708138631,-2.1629763442549086,127.1144683144881,16.488885552199058,109.1363713454564,144.63980848784945,11.897450596751609,21.632527591607733
gru,24,TD (<34),93,24,152.35095990216726,138.51059759441756,309.929850052162,348.12013971149383,6.785049697298706,8.350930294465785,-2.5142799520513255,145.92149467459276,7.463389006200276,115.91877382840354,182.81204765268754,5.648847324777723,9.659849244751788
gru,24,TS (34-63),765,85,153.23835800600168,133.7885507437295,292.36496833248447,350.54397739895916,9.240149211980189,12.349363337440606,0.02750264083783208,148.88178917670643,11.491264676540299,134.74887422273346,163.65264334128761,9.900269155874552,13.396908966229919
gru,48,Cat 1 (64-82),208,41,342.2246662586856,302.50643246886773,599.2343401289436,838.4630451318117,18.383912148261285,24.62776611110071,-3.095492017136964,363.2535993050644,24.1561067760963,301.08383822428624,429.1885518928184,19.234098144809685,29.88190353994879
gru,48,Cat 2 (83-95),77,25,383.59414197655735,334.20759425605905,752.5214268930907,865.4134982628586,17.29896943319409,22.566279307668637,-1.3529715107550218,376.4127611886538,24.347763519236906,290.32091943122333,467.52170753292756,17.867363516080268,32.452451056493565
gru,48,Cat 3 (96-112),79,17,271.98491040413217,228.2471715389607,608.2390311545223,668.7530581904847,12.973091271596841,16.740514160040952,-0.38380620544437144,320.6250576913412,15.437843317355146,256.66779931037144,395.24967012548075,12.556869891673186,18.434712397212508
gru,48,Major (>=113),106,18,338.18584851006244,298.03720276360946,660.4460297547232,765.1167571844205,19.377625931857825,24.939852657587217,3.0117304794060824,349.2258290089121,22.86784995536142,268.60806182891764,439.86837536766427,15.913050288553197,31.092809716961185
gru,48,TD (<34),59,19,354.1175004156901,277.2664816721213,681.0315696675292,758.2321367108194,9.222437751316484,12.076242648272638,-2.6376119675014027,335.67390040356184,9.73870244850213,258.12044866832736,413.8808020462296,6.609934315460256,13.42139637705927
gru,48,TS (34-63),586,76,382.28953291846614,346.8191244524219,660.0257383220248,789.2873080637617,16.154709279963804,21.2248519104863,-0.1100398251529537,364.56801890590117,19.173003950470417,327.0542183766806,402.2793795430353,16.24714225103956,22.268862950965346
persistence,6,Cat 1 (64-82),334,51,137.73412037490877,121.84458102865895,232.6386573042654,309.68927540111156,5.434131736526946,7.915156384987122,-0.5239520958083832,141.870407974899,6.905136802195626,128.56458496173195,155.86517812776998,5.8837045171604005,7.976509315847551
persistence,6,Cat 2 (83-95),134,34,155.87032360900287,141.61362436031675,270.8723064646394,301.52893545390594,7.574626865671642,10.69418868553342,-0.11194029850746269,153.46767359452977,11.760912698412698,133.63640489301457,173.94124943324726,9.09815009337068,14.508409197012137
persistence,6,Cat 3 (96-112),97,23,121.72411978783649,109.37323300574067,189.38563216836678,212.66139347387235,7.783505154639175,12.487106752628744,2.0103092783505154,132.34842955537738,13.343685300207039,115.39997014701898,149.49682246297607,9.26547619047619,17.976242236024845
persistence,6,Major (>=113),128,19,122.57887107697582,110.00101627571999,191.83382069004833,213.13738709876984,7.578125,11.50747039970123,2.578125,127.63274836062843,11.170175438596493,103.99528740188856,155.05058431175274,7.858706140350877,15.473749999999999
persistence,6,TD (<34),156,37,115.91158994083665,116.73390651951081,180.5514285183844,212.12572473282796,1.314102564102564,2.802242691589025,-0.3525641025641026,123.46608595120755,2.0172282672282673,107.50923938655203,140.85737824994652,1.3885928542178543,2.7439989908739895
persistence,6,TS (34-63),923,102,115.27933282846801,109.82098997095511,182.82547358313496,204.72307231323782,3.3098591549295775,5.021621722484379,-0.26543878656554715,125.90807479788208,4.26528479196102,114.13590691160763,138.17054970089634,3.7461964250956563,4.859008603665485
persistence,12,Cat 1 (64-82),315,51,264.87646228808507,241.620747474583,449.42577284347476,583.9025258635874,10.73015873015873,14.917763992625789,-1.9365079365079365,271.1250473305858,14.3554812347382,244.40383393081672,299.40065749745406,12.18920101155008,16.6686068074226
persistence,12,Cat 2 (83-95),132,34,311.87880883904734,280.6856634128027,545.3080412250388,638.6752726760769,13.295454545454545,18.834405976426453,1.0984848484848484,309.9288855745258,19.587588881706527,269.657175918992,354.9629493381317,14.658343433527257,24.86403455613014
persistence,12,Cat 3 (96-112),96,23,244.21897870803787,220.22525312829197,372.52293232757495,428.7072420108539,13.333333333333334,18.99835519196333,4.6875,268.09948163576564,22.930124223602483,230.86164790595566,308.97525345378585,16.671506211180123,29.80627587991718
persistence,12,Major (>=113),127,19,245.33028958891464,229.47752894270195,384.6178462583382,429.7070931060747,14.448818897637794,21.282686764257747,8.779527559055119,257.27997252046464,21.319005847953218,210.4090753700185,316.54242486226923,14.207412280701755,29.718267543859643
persistence,12,TD (<34),127,30,230.13950795458598,223.19028455707476,342.2917582848496,409.83411636718967,2.677165354330709,4.695449296338763,-1.5748031496062993,234.97300770865908,3.4949735449735453,197.7028362464315,279.4430210149109,2.29875,4.9724834656084616
persistence,12,TS (34-63),864,94,223.10682631694786,217.2786753086037,349.7247910923635,388.21225941092666,6.0532407407407405,8.253085842636434,-1.2268518518518519,241.84257523678463,7.378576892525513,220.66084228524176,266.7734786558515,6.5511264840878765,8.260488779868588
persistence,24,Cat 1 (64-82),281,48,504.5099955374681,448.2261930961479,845.8628739700059,1037.4978471390855,18.87900355871886,24.989321562835965,-4.572953736654804,511.61500177416275,25.89269650896489,462.29829681848827,563.7841883327799,21.61628612910782,30.254242540547683
persistence,24,Cat 2 (83-95),111,31,552.0757816805724,522.6798635107943,846.2692378076108,1092.7688820647736,17.882882882882882,22.942348427119473,4.009009009009009,569.2222628296776,23.456453940324906,489.2216850922093,654.7920488523,18.607997457291813,28.870709543592607
persistence,24,Cat 3 (96-112),92,20,472.10766668187307,425.90785205506523,732.3978058688767,838.481700346771,17.98913043478261,23.973490794408004,7.336956521739131,495.2753558139674,27.342261904761905,431.2657628135084,567.0557502812117,19.830282738095235,36.02171130952381
persistence,24,Major (>=113),123,18,491.72960738645804,465.8868161597047,730.0455355732415,855.5762033119348,26.382113821138212,36.05269404590286,21.097560975609756,483.7898307159286,35.06393298059965,410.4294165187536,558.8558378575457,24.47417328042328,46.50324074074074
persistence,24,TD (<34),93,24,487.40402690955386,471.85243496117624,711.3627404143043,869.7624918671557,6.182795698924731,8.471965152689611,-4.78494623655914,508.94453841551194,7.396825396825396,423.681111375543,609.0987812927332,5.213082837301588,9.845176091269842
persistence,24,TS (34-63),765,85,425.7338652580433,423.1879456351677,674.2491284574612,739.5976906410365,10.411764705882353,14.451858328613895,-3.7450980392156863,436.11337576910654,14.108036439264064,404.3591409846088,468.6512268617347,11.792591359549801,16.564574560243678
persistence,48,Cat 1 (64-82),208,41,862.5802713912909,840.9927397401733,1291.32514526436,1405.4570077588608,22.403846153846153,28.806382839705723,-6.634615384615385,899.9580202336294,29.25379058610766,799.2633225382494,998.250340057583,23.763737795064017,35.03678261948079
persistence,48,Cat 2 (83-95),77,25,961.2223468485344,929.5235852327422,1363.702494377441,1680.6974276744534,24.350649350649352,29.415297725158933,9.675324675324676,893.7170431256274,31.183333333333334,771.0083704977259,1028.3152635028457,24.71869047619048,37.88375
persistence,48,Cat 3 (96-112),79,17,892.1574332962161,810.4789831833293,1351.2476017475958,1656.33096717555,20.379746835443036,26.457513110645905,13.544303797468354,944.2543920593455,28.61764705882353,836.3203073246615,1057.6175989910312,18.93809523809524,40.29159663865547
persistence,48,Major (>=113),106,18,1024.6600113208503,989.9741138809777,1513.3963377250625,1631.7119397774209,37.264150943396224,45.45887629453971,33.301886792452834,996.0302972604046,46.93611111111111,853.0550391697027,1144.9655393916441,33.73935185185185,60.991481481481486
