model,horizon_hours,motion_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,6,fast (>=25),462,74,36.5337278116495,28.670061835452167,74.08423505164305,92.71492207110471,4.891774891774892,8.085045786386456,0.8008658008658008,40.43852533734482,4.357882847588731,35.63567340413308,45.614242494236656,3.4377835180960186,5.406670409501291
constant-motion,6,slow (<10),211,42,24.815287381344998,22.23907054660393,53.07362529239783,61.73389959327244,3.6966824644549763,5.6139636334523155,-0.8056872037914692,28.68434581386029,3.9029882154882163,24.463880279911038,33.29281433584559,3.023507395382395,4.874664802789803
constant-motion,6,typical (10-25),1099,97,25.46624916063809,22.24104647914838,48.68918831362935,62.142439261950514,4.344858962693357,7.13671255271323,-0.15013648771610555,27.382299652223846,4.550250242140751,25.429973715277928,29.390333844047433,3.854026964594277,5.294651270517592
constant-motion,12,fast (>=25),417,65,91.69065791433005,75.38805621052346,185.0834512404709,236.65766750485713,9.34052757793765,14.308606187577288,1.211031175059952,103.51198590119454,8.48270358349544,90.17798654224637,118.17475347454854,6.78608749156826,10.289179815596668
constant-motion,12,slow (<10),197,39,61.02151256066965,54.47902581978748,113.68347819304341,138.17896844437684,7.5126903553299496,10.968343928229036,-1.4720812182741116,66.94684312072283,7.355766616636181,58.0746136683249,75.9922593995796,5.4697783697783695,9.354647652066127
constant-motion,12,typical (10-25),1047,89,62.19572242509421,53.62972585389951,119.07209735473084,150.40560094558168,8.065902578796562,12.426479107094048,-0.35816618911174786,65.7480254149316,8.267469832857229,60.78647821341043,71.03078084118067,6.999021513006065,9.710736066688403
constant-motion,24,fast (>=25),315,56,239.98874283116245,188.0793213061652,486.0802655456412,571.9451296783238,14.873015873015873,21.31584104287418,1.2222222222222223,272.05006934466843,13.737184173228428,239.43228411876467,308.73870782100886,10.94058361249258,17.023301025826743
constant-motion,24,slow (<10),181,33,171.97437575339708,157.28824356780655,300.8776241316419,383.426268873648,12.679558011049723,18.526522722812693,-2.18232044198895,177.64795766508684,11.599778844344062,152.13376072813816,206.19710674068781,8.311608645983647,15.090612060041408
constant-motion,24,typical (10-25),969,84,161.12988836586175,137.84862534160513,292.64106960959765,369.26141249396716,14.189886480908152,20.515794715714463,-0.8978328173374613,167.6474386453177,14.268844026589253,153.20350489913156,182.6100929491537,12.151904063223286,16.678578812057584
constant-motion,48,fast (>=25),181,34,558.5660534992162,411.81925147574424,1087.4122413709417,1294.2538395376453,21.629834254143645,28.59268151929945,-0.13812154696132597,717.1535061427395,18.33958790392614,585.6577869968005,847.2026884877707,13.848754691999174,23.60960424379542
constant-motion,48,slow (<10),162,27,480.8624149876959,424.7893232824576,906.2065705327047,1083.5856699316369,19.598765432098766,28.368714292637303,-3.7962962962962963,515.7228695315656,22.144629804352025,431.2141030641555,610.0031976651376,15.97182656592379,29.765823528323526
constant-motion,48,typical (10-25),772,72,437.21182617144365,375.05615090592437,818.6128593910313,983.3835497494404,20.757772020725387,28.33288885153745,-2.040155440414508,446.41005994467855,19.989585977087756,403.3696026434644,491.3322537558735,16.560526595208092,23.722864528720713
gru,6,fast (>=25),462,74,34.60389373147955,27.82711398807146,68.5749249986182,82.50886075005185,4.115151871179662,5.955695056509425,0.267230193822746,38.40304799126384,4.027555628281528,33.880081935711374,43.2519553693374,3.3979183857166633,4.756240400448309
gru,6,slow (<10),211,42,24.96901445248051,21.029068706545555,48.36818373840683,55.77747714281497,3.328489791377027,4.389361011639373,-0.3803363233460093,27.876052953936405,3.333291715929674,24.540308123133524,31.584328318849977,2.7318066858809535,3.9655499714677007
gru,6,typical (10-25),1099,97,25.394619796086698,21.451437344513142,47.425132289982244,58.752440493282506,3.776750165792931,5.4314640674267025,0.08509598478048952,27.528965747187023,4.063883623511654,25.440255765781718,29.738033623040433,3.5768056559769024,4.563364478182547
gru,12,fast (>=25),417,65,76.40024652616822,63.60927442835473,143.6680970421286,189.97292758578484,7.0261534979388145,9.877539158238307,0.014287719711643374,87.92920891623092,6.6762128289512574,76.54911169973006,98.94267949617226,5.6245246089116385,7.8244793344427945
gru,12,slow (<10),197,39,60.53351752861204,48.019069579288484,114.32508402159212,138.58816911715405,6.27094099636052,8.458052014304956,-1.5849627929683783,63.678258869965376,5.6698903772754585,55.44619041363451,72.95853241144081,4.61137476421592,6.825397089007058
gru,12,typical (10-25),1047,89,59.73013905125595,51.50717470064491,113.07424728212861,139.674964000226,6.8356072692180625,10.079224474331056,-0.09121528870488294,65.72108411886043,7.361883283083222,60.65441520650268,71.09259611140541,6.249092572427824,8.664870669202465
gru,24,fast (>=25),315,56,183.90199054015312,146.74006096210658,365.2847863162216,463.11328012736345,10.68095812209519,14.479243434394865,-1.5392866690969313,207.32127973529896,10.316432119465349,179.3073554023669,238.4952422844999,8.660285245897258,12.27265861391977
gru,24,slow (<10),181,33,157.96816769183334,157.07730782089695,263.0029596882393,330.228628991706,12.139120550027581,16.63659290146706,-1.0321729675463633,155.37718918412455,10.865825333186738,133.32042979438387,178.7212172663629,8.460302307174606,13.337522167546298
gru,24,typical (10-25),969,84,141.73935614040246,123.81718680199383,260.66653513269546,314.3743762644969,11.567045830855426,16.60754003302239,-1.2747908492084934,148.82548828064088,11.894451773198082,136.44942492327053,162.1580815373151,10.301463259009228,13.748552300174453
gru,48,fast (>=25),181,34,434.19091618295295,383.8261381678227,838.0709097455966,930.7029339277743,15.911051378514193,20.43915878309543,2.201755782760301,572.8776577928114,16.526260068944865,487.0222589060989,664.7513373882554,13.18019196369579,20.182245144273008
gru,48,slow (<10),162,27,401.38325860820964,387.5710827713482,676.6922878036155,750.0287848348031,18.085943903330076,24.777301033602107,-0.02482283805820418,394.2677354560175,19.023149821966054,339.6984158485346,446.1909752923051,14.349933763158628,24.304815518055417
gru,48,typical (10-25),772,72,335.95329335375266,296.58326573924904,618.5713388643476,736.1362072003793,16.108467857465406,21.32177520305806,-1.390825577515654,341.30894351346933,16.18510022521253,306.3441915415779,377.4311440256738,13.934402087016426,18.6655419786537
persistence,6,fast (>=25),462,74,203.97045391658492,182.6726154699093,290.21699227796165,340.5773558036936,4.891774891774892,8.085045786386456,0.8008658008658008,204.24494403923205,4.357882847588731,193.388611985782,215.24181565295194,3.3982039376340847,5.442032738668767
persistence,6,slow (<10),211,42,39.84193079389614,42.69024375060322,55.89515841660398,58.371755563295935,3.6966824644549763,5.6139636334523155,-0.8056872037914692,41.08111187842311,3.9029882154882163,38.24790303247239,43.56332831559188,3.044443478148835,4.819613546176046
persistence,6,typical (10-25),1099,97,105.76086424983725,103.89775114039928,140.2562739998819,144.87211045011796,4.344858962693357,7.13671255271323,-0.15013648771610555,109.63254839999746,4.550250242140751,106.31403556601045,112.93472602193924,3.872809911652951,5.291253842799041
persistence,12,fast (>=25),417,65,396.59297629286544,356.5626215657466,555.5305244480979,642.7613420336428,9.34052757793765,14.308606187577288,1.211031175059952,402.36464236334666,8.48270358349544,380.8046828923128,427.04263970296006,6.802657701775349,10.468094499768707
persistence,12,slow (<10),197,39,80.70096030393461,83.53244699597155,113.50743277538338,116.24050393332624,7.5126903553299496,10.968343928229036,-1.4720812182741116,85.66570879022223,7.355766616636181,80.4548739761472,91.04301954165881,5.543670897339376,9.325578588078587
persistence,12,typical (10-25),1047,89,210.0484357930661,206.55232038597708,278.3683880739414,286.6134629690964,8.065902578796562,12.426479107094048,-0.35816618911174786,214.67696293140395,8.267469832857229,207.96441980075633,221.98945873501302,6.990025968663145,9.664734307067643
persistence,24,fast (>=25),315,56,764.7349819018368,703.5134829721092,1017.2376613472949,1167.4918440159645,14.873015873015873,21.31584104287418,1.2222222222222223,754.3416722259261,13.737184173228428,721.9897226084693,792.4318033357839,10.809760898823399,16.97308891262938
persistence,24,slow (<10),181,33,163.92825197899964,171.94237429959648,227.85625839755056,233.6874188089248,12.679558011049723,18.526522722812693,-2.18232044198895,172.40434937148262,11.599778844344062,160.3407320459544,183.9064167895628,8.472876082251084,15.264421779910904
persistence,24,typical (10-25),969,84,420.4507905815819,422.6635101092126,555.734275927748,576.9754767716412,14.189886480908152,20.515794715714463,-0.8978328173374613,425.5412475708044,14.268844026589253,409.4894482117081,441.22348231905795,12.148050799271216,16.577367149119322
persistence,48,fast (>=25),181,34,1437.9470761272648,1382.7523589212167,1684.167266831169,1884.5679875178532,21.629834254143645,28.59268151929945,-0.13812154696132597,1431.9987071173873,18.33958790392614,1384.7727777751636,1483.3893200980783,13.931821431224003,23.580478998126054
persistence,48,slow (<10),162,27,330.75838066736725,336.34458287158975,463.70055311555797,470.78612723191935,19.598765432098766,28.368714292637303,-3.7962962962962963,358.362919007197,22.144629804352025,331.97281648118053,384.7652164340673,15.526802139475748,29.6769751082251
persistence,48,typical (10-25),772,72,836.3183077161882,837.8501042621847,1096.4402089577427,1141.5950472267698,20.757772020725387,28.33288885153745,-2.040155440414508,855.1417574999518,19.989585977087756,818.7225387227446,891.8581948221079,16.700754392275574,23.73401528307323
ridge,6,fast (>=25),462,74,32.94900019256578,26.536302666706987,63.303290068429234,81.83991039688243,4.348746118828776,6.747176542970917,0.1637999266136658,37.04342891013931,4.0173657127275035,32.43329359924931,41.84858823992393,3.3212725852539817,4.8341116622140605
ridge,6,slow (<10),211,42,24.715380211556013,20.587410850975125,48.468005495730154,61.152076978696535,3.396462911874914,4.58045954272845,-0.5709615719324159,27.36847933432278,3.370676405925708,23.431026490838274,31.472878511890354,2.7741851460597786,3.9746996538738157
ridge,6,typical (10-25),1099,97,23.97138587468819,20.158651867690537,46.14916061775286,58.474477424330864,4.001899715793183,5.809294645867582,-0.2164157171979789,25.74804947416656,4.316888271618225,23.88220154721409,27.44060010949215,3.7831019879193097,4.916740587985079
ridge,12,fast (>=25),417,65,77.96891215135514,65.7092274805846,152.23661534966024,185.4618631838692,8.106555471109951,12.43071467716347,0.10633808763172205,88.78578003738141,7.572886971086051,77.02980682738742,100.22308968957488,6.176418699035723,9.185229136853332
ridge,12,slow (<10),197,39,60.10096563150676,51.011038237566524,108.47699871835219,133.82183383983931,6.625887019788659,9.185962864580649,-1.1046021229620377,62.86831571789755,6.24837268146784,54.40865601888308,71.83015507908921,5.079307367654696,7.587769154954021
ridge,12,typical (10-25),1047,89,56.621045567096544,46.84136959339965,108.0767403101545,134.6152555963103,7.281410694538459,10.86800790126062,-0.5393467746280363,60.63676186529653,7.78850894055981,55.97770219152664,65.12772132776837,6.713340013802915,8.990665995898405
ridge,24,fast (>=25),315,56,192.55749745783672,154.92368395449265,363.0686632123923,480.09416417112004,12.98671539928984,18.94217090710395,-0.09505962832027091,218.20579394502946,12.661395523523709,189.7500946596975,248.28413382564563,10.51637485813439,15.121730384743394
ridge,24,slow (<10),181,33,162.85414221661455,143.90453091719613,290.9754481555913,342.5809277518293,11.97869516490675,17.05281865840635,-1.3278330338728679,158.61321857814124,10.668756838540759,133.40291798948306,185.22041015820582,8.396971388595832,13.454967895676527
ridge,24,typical (10-25),969,84,139.04096481176984,117.3438073719689,254.00481820148534,318.8215561709559,12.92528126323665,18.308431816700768,-1.3169249018455718,145.1616862129679,13.458869769009352,133.43122525907873,157.46848538159193,11.901932283808906,15.112605765345293
ridge,48,fast (>=25),181,34,462.04754537223806,409.75648196471724,886.908655490616,1012.1766393740456,17.33560938527009,22.10884418776528,-0.4289580681849721,594.4467241730856,17.81974844416837,500.0296626143707,688.4161620432275,14.542562732899688,21.93987331415963
ridge,48,slow (<10),162,27,414.9057344783523,390.82816603988454,718.0352012510218,795.983937919472,18.407703345917778,26.42898498594362,-1.948331955048963,384.08594512264466,19.51769474692644,318.3214719745598,451.6811151720907,13.998490876021632,25.93033879500485
ridge,48,typical (10-25),772,72,329.620407263564,287.06878977713376,595.033147002736,757.1752713623042,18.496706561383593,24.413619128631453,-2.2428178922851414,337.89840288133905,19.287116567933822,303.37085357214403,373.94809910004744,16.827129897465635,21.915567762848767
