model,horizon_hours,origins,storms,track_mean_km,north_bias_km,east_bias_km,north_mae_km,east_mae_km,wind_bias_kt,wind_mae_kt
constant-motion,6,1772,107,28.274275233627044,-3.2039051918735915,-6.440969941511955,17.22570203160275,18.421779914372813,0.019751693002257337,4.410270880361174
constant-motion,12,1661,97,69.46126652847754,-9.128105960264906,-18.716882381988047,41.91422516556295,46.78889306861151,-0.09632751354605659,8.320288982540639
constant-motion,24,1465,89,179.4257186550861,-28.84441774744027,-56.85752319321583,105.9553638225256,124.86423436998038,-0.6006825938566553,14.150170648464163
constant-motion,48,1115,81,463.2535396553537,-85.59160179372196,-173.32206135190353,264.282665470852,331.5599434763438,-1.9865470852017937,20.730941704035875
gru,6,1772,107,27.745004576363556,0.5586975445123655,-0.4375227168154499,17.794314093463075,17.660400099980865,0.07716132764890443,3.8116026764514603
gru,12,1661,97,64.01051254738934,-3.5364906337258795,-4.614279483965564,40.17421619986482,41.50472653436207,-0.24189169077003472,6.81647332678797
gru,24,1465,89,152.8101033941434,-8.092041891953963,-5.964735130413536,93.53972411690143,102.66504663473405,-1.301686648992802,11.447201391204016
gru,48,1115,81,361.4068037603063,-20.601091375547043,8.873700734073832,219.3998062025812,249.11453591742324,-0.6091666806528246,16.363731298487746
persistence,6,1772,107,123.51703550651551,-63.688609480812644,27.80057253642287,70.58642889390518,86.77309332521655,0.019751693002257337,4.410270880361174
persistence,12,1661,97,241.5400798129682,-125.8096953642384,60.98310164203482,138.7981456953642,169.15226747674177,-0.09632751354605659,8.320288982540639
persistence,24,1465,89,462.7845385534678,-247.04681501706483,138.112693626687,268.9764750853242,320.6503672058969,-0.6006825938566553,14.150170648464163
persistence,48,1115,81,860.5282618870365,-486.46340807174886,315.2555697663469,514.0388197309417,581.5657326120303,-1.9865470852017937,20.730941704035875
ridge,6,1772,107,26.400641303547417,-0.32861115580497113,-0.407044210882635,16.847498626261288,16.85626432153001,-0.15950236951625565,4.020238244334768
ridge,12,1661,97,62.39323377800843,-1.1002486046470348,-0.8942065012722881,39.46744611087725,40.4272850851236,-0.4442863989865426,7.410819007545443
ridge,24,1465,89,153.49003845940666,-5.0635094534129115,-0.04957135635563401,95.27218014476989,103.171629847282,-1.0555507112220024,12.821540423003915
ridge,48,1115,81,363.50877946667225,-17.688082216971765,10.358067514047162,216.81142317369935,253.20151445930736,-1.9055843945323236,18.29529211314861
