model,horizon_hours,issue_intensity_bin,origins,storms,track_mean_km,north_bias_km,east_bias_km,north_mae_km,east_mae_km,wind_bias_kt,wind_mae_kt
constant-motion,6,Cat 1 (64-82),334,51,31.28720886371953,-5.532670658682635,-9.615413070269831,18.397796407185677,21.188583534319058,-0.5239520958083832,5.434131736526946
constant-motion,6,Cat 2 (83-95),134,34,34.14700262257461,-3.9875820895522365,-11.0300237575358,19.605611940298534,23.6225561467406,-0.11194029850746269,7.574626865671642
constant-motion,6,Cat 3 (96-112),97,23,20.715906833000513,-4.016701030927845,-5.985682241400996,14.115835051546428,11.923684210379502,2.0103092783505154,7.783505154639175
constant-motion,6,Major (>=113),128,19,26.578425521679332,-6.9575,-11.275826020583883,16.524062500000056,16.795547124584765,2.578125,7.578125
constant-motion,6,TD (<34),156,37,28.497745179432407,-1.0703846153846333,-9.043617757024197,16.912076923076985,19.240141625819142,-0.3525641025641026,1.314102564102564
constant-motion,6,TS (34-63),923,102,27.32314184670893,-2.002071505958831,-3.563495459623896,16.93318309859159,17.435639317617955,-0.26543878656554715,3.3098591549295775
constant-motion,12,Cat 1 (64-82),315,51,77.75978296573821,-15.372761904761896,-30.239615590451905,45.76488888888892,54.17584935256479,-1.9365079365079365,10.73015873015873
constant-motion,12,Cat 2 (83-95),132,34,87.04603462160642,-12.05966666666665,-36.373143342617645,46.13033333333341,63.05253604812205,1.0984848484848484,13.295454545454545
constant-motion,12,Cat 3 (96-112),96,23,51.41551127888865,-11.247958333333356,-19.731435011056817,34.20770833333335,31.540155360297916,4.6875,13.333333333333334
constant-motion,12,Major (>=113),127,19,61.43309103998874,-18.319590551181093,-30.059021794409656,35.32437795275599,42.541318723541366,8.779527559055119,14.448818897637794
constant-motion,12,TD (<34),127,30,68.37390308542577,-0.17530708661421068,-22.26122425744758,40.49593700787401,46.44631860547125,-1.5748031496062993,2.677165354330709
constant-motion,12,TS (34-63),864,94,67.09418768847297,-6.132907407407413,-9.517498604880723,41.89961111111114,43.98002225368112,-1.2268518518518519,6.0532407407407405
constant-motion,24,Cat 1 (64-82),281,48,202.92741757768508,-43.02260498220638,-95.09050195026357,114.4100213523132,146.8645468617268,-4.572953736654804,18.87900355871886
constant-motion,24,Cat 2 (83-95),111,31,210.97824927308977,-30.086486486486454,-103.84769319233811,103.89866666666674,164.95399683973366,4.009009009009009,17.882882882882882
constant-motion,24,Cat 3 (96-112),92,20,140.4249421570136,-22.264000000000056,-75.85172317510646,81.31200000000004,99.18559872328893,7.336956521739131,17.98913043478261
constant-motion,24,Major (>=113),123,18,162.75897821800842,-57.47008130081299,-89.83344702486752,94.03372357723579,116.91828193312861,21.097560975609756,26.382113821138212
constant-motion,24,TD (<34),93,24,177.89972455422387,-8.259225806451665,-50.94987518068511,107.1305376344086,122.67720234918514,-4.78494623655914,6.182795698924731
constant-motion,24,TS (34-63),765,85,173.77041103039937,-22.147586928104573,-29.127497487209656,107.88581437908496,115.59773654362611,-3.7450980392156863,10.411764705882353
constant-motion,48,Cat 1 (64-82),208,41,481.4324102177874,-69.03980769230759,-295.1522692026792,235.16349999999997,384.6808383896732,-6.634615384615385,22.403846153846153
constant-motion,48,Cat 2 (83-95),77,25,536.7517847145156,-128.09028571428556,-308.30626159165166,270.3485714285713,435.14706422777374,9.675324675324676,24.350649350649352
constant-motion,48,Cat 3 (96-112),79,17,366.02767872778605,-96.66521518987359,-236.22351172600224,209.39432911392421,262.0054085864335,13.544303797468354,20.379746835443036
constant-motion,48,Major (>=113),106,18,494.12258787401834,-173.49116981132067,-327.3208840108533,279.7702641509434,369.7026532666284,33.301886792452834,37.264150943396224
constant-motion,48,TD (<34),59,19,443.1040131268892,2.4528135593220033,-62.168340768014616,276.0358644067796,263.0481402103776,-10.59322033898305,10.932203389830509
constant-motion,48,TS (34-63),586,76,456.69547825729416,-77.35410238907852,-87.19665705433529,277.2361911262799,308.46868574834406,-9.479522184300341,17.704778156996586
gru,6,Cat 1 (64-82),334,51,29.415214996893056,-2.315790332351044,-0.6247405824010348,18.69195989673425,18.893717329531366,0.4198143223933522,4.265189107503416
gru,6,Cat 2 (83-95),134,34,31.403635737280116,-0.8753525982371636,-1.702942876945946,18.628747964566845,21.28670765207104,-0.53726954639258,5.152723187396047
gru,6,Cat 3 (96-112),97,23,23.594708892140318,-2.5246348351581642,-0.020116091598903492,16.565135848867534,14.000572444150038,1.2553603563877178,5.888224314134944
gru,6,Major (>=113),128,19,25.61079962674286,-4.370851166955617,-3.8561841810782322,17.55058732808787,15.183964749396578,-0.18800213337947083,6.653101176860462
gru,6,TD (<34),156,37,28.35863746124377,1.3702977778087984,-4.438827712164783,19.011392677012143,16.914790736288257,-1.0459824971540865,2.0615544208002254
gru,6,TS (34-63),923,102,27.23787925551861,2.677546417212816,0.9204413921955996,17.305619856886327,17.54170985250143,0.14515015838579182,3.13625641917737
gru,12,Cat 1 (64-82),315,51,66.74574414789241,-10.620964866399673,-5.676546205838247,43.174093856494665,42.54465784517902,0.04801269775174145,8.216082607424136
gru,12,Cat 2 (83-95),132,34,73.43917145371492,-6.9452023970001235,-6.078574326220207,42.68966717324946,50.40942907308329,-0.6430198235529165,8.56709694937248
gru,12,Cat 3 (96-112),96,23,49.388697110762905,-6.1661848057413176,-10.781172670037405,33.70037581161079,29.868360696365542,1.140153145839183,10.010342366635816
gru,12,Major (>=113),127,19,58.01994661624493,-7.179339633067956,-19.88812003091767,36.613638421118274,37.03165033092092,-0.9569608688191951,11.838966889700757
gru,12,TD (<34),127,30,64.72531124066431,0.4155110010069192,-12.530958814317056,42.68991988924864,38.313007606213176,-1.6910707814757062,3.4037080314109303
gru,12,TS (34-63),864,94,63.9729382318015,-0.18608832832853495,0.09071901933068635,39.56910820946701,42.184727696562376,-0.12173861558443325,5.447253234908364
gru,24,Cat 1 (64-82),281,48,170.63276467238404,-29.853923295340177,-12.542794386510748,104.95264977517829,115.72969021911051,-3.295970792010509,14.910188541518602
gru,24,Cat 2 (83-95),111,31,167.39425967898154,-6.384228652660682,-14.672180845858561,94.33491738236579,116.89980384324727,-1.7856809878757833,13.994778116494647
gru,24,Cat 3 (96-112),92,20,113.2131034087394,4.533955322796196,-18.396033490000633,74.42267801578323,70.6353522139511,-3.3017168795880947,12.879224768022702
gru,24,Major (>=113),123,18,126.23287086192137,-24.6232844027981,-41.79476988011064,72.08701891709951,87.53929011106334,-2.1629763442549086,17.417514141012507
gru,24,TD (<34),93,24,152.35095990216726,3.5633652209380506,-16.53808163223846,104.88480352583458,91.2988578332429,-2.5142799520513255,6.785049697298706
gru,24,TS (34-63),765,85,153.23835800600168,-0.6236502208849061,6.256253200752723,93.60124050043788,103.46639643905752,0.027502640837832073,9.24014921198019
gru,48,Cat 1 (64-82),208,41,342.2246662586856,-66.95086251641017,-38.65738096692624,210.17545966149268,235.11112360717544,-3.095492017136964,18.383912148261285
gru,48,Cat 2 (83-95),77,25,383.59414197655735,-46.24035624537141,-1.7225681090202627,215.71573333483306,289.6394531155712,-1.3529715107550215,17.29896943319409
gru,48,Cat 3 (96-112),79,17,271.98491040413217,35.91161824144483,-11.56595445841015,191.3808795004276,165.85232151886566,-0.38380620544437144,12.973091271596841
gru,48,Major (>=113),106,18,338.18584851006244,-105.72103714715638,-143.91593115022374,205.3745204927804,240.14947168133108,3.0117304794060824,19.377625931857825
gru,48,TD (<34),59,19,354.1175004156901,66.41462209044688,71.83289560600929,254.01337258299353,191.95961029604007,-2.6376119675014027,9.222437751316484
gru,48,TS (34-63),586,76,382.28953291846614,-1.762765624982885,51.19148049042852,225.98737065587085,267.3610265222826,-0.11003982515295377,16.154709279963804
persistence,6,Cat 1 (64-82),334,51,137.73412037490877,-87.5228502994012,7.421084541738672,89.58926946107785,88.41726682852536,-0.5239520958083832,5.434131736526946
persistence,6,Cat 2 (83-95),134,34,155.87032360900287,-103.0956119402985,-17.57326342513663,104.42480597014924,100.67741973158248,-0.11194029850746269,7.574626865671642
persistence,6,Cat 3 (96-112),97,23,121.72411978783649,-77.23542268041237,46.84938581286268,78.38305154639173,80.5128483822003,2.0103092783505154,7.783505154639175
persistence,6,Major (>=113),128,19,122.57887107697582,-74.35828124999999,31.73449773706985,76.44553124999999,82.97216608236351,2.578125,7.578125
persistence,6,TD (<34),156,37,115.91158994083665,-50.022641025641036,30.622221645377476,57.87212820512823,86.63256031431457,-0.3525641025641026,1.314102564102564
persistence,6,TS (34-63),923,102,115.27933282846801,-48.74923510292524,38.738154805739335,59.314383531960985,85.36827415696118,-0.26543878656554715,3.3098591549295775
persistence,12,Cat 1 (64-82),315,51,264.87646228808507,-169.87785396825396,24.19337628789293,174.2599746031746,168.62165285441378,-1.9365079365079365,10.73015873015873
persistence,12,Cat 2 (83-95),132,34,311.87880883904734,-206.195,-42.83864704005248,208.55633333333333,202.90414597614554,1.0984848484848484,13.295454545454545
persistence,12,Cat 3 (96-112),96,23,244.21897870803787,-159.44270833333334,84.00120044336776,160.60229166666667,158.85791116348972,4.6875,13.333333333333334
