model,horizon_hours,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,6,2020,466,29,29.240861900978803,23.163767873067368,62.22886726703422,72.60972458545506,4.8068669527897,7.85463423527519,0.278969957081545,27.650568465008806,5.004444636272694,24.193664912557935,31.345229117204752,3.7074862670737416,6.270183271735938
constant-motion,6,2021,299,19,28.45707974704506,23.678317815081723,58.80748757518171,76.80934592250854,3.963210702341137,6.738051483377234,0.2842809364548495,35.85468319315125,4.290753941822072,26.82439328898908,45.47734398478654,3.138047430370021,5.560900364849822
constant-motion,6,2022,183,14,32.09258604438407,24.349206595259187,63.37686693084875,72.33113977136033,4.016393442622951,6.764985389666734,-0.4644808743169399,35.662796284641075,3.487885325070199,27.397056598857912,45.817567929964945,2.109433356676004,4.914883496133496
constant-motion,6,2023,369,17,25.47934211381223,22.239057848926834,52.767158488510695,63.20480305146495,3.143631436314363,5.321633508409986,-0.2439024390243902,26.352715123078635,3.3109565048746163,22.68976642846486,29.626100683734975,2.459579498841473,4.330770393088523
constant-motion,6,2024,267,15,27.925259677714372,23.77838579904293,53.58230176457762,62.22075261972609,5.861423220973783,8.671059100110147,0.4307116104868914,30.38586922165849,6.171205759802251,26.881105174420178,34.23299230762483,4.254968178751073,8.365427148793376
constant-motion,6,2025,188,13,27.85235321114784,24.40161063945378,53.13831419449861,58.44878300630539,4.946808510638298,7.855070188074354,-0.6382978723404256,29.291131202148406,4.280757085104911,23.92542488130547,35.20841978652859,3.0788246870186673,5.483381871132706
constant-motion,12,2020,435,27,73.76450268049476,56.8083415457053,149.48322902246102,199.97597903109963,8.908045977011493,14.046310924036696,0.425287356321839,71.55487407813706,8.534407323416334,61.92688058188916,82.76577656069696,6.48446785096649,10.803889805241122
constant-motion,12,2021,279,16,68.65542710946846,55.77957456253729,144.10365241019304,181.7860031379158,7.419354838709677,11.51592321332498,0.4301075268817204,70.0465822471313,6.746127394564895,59.85210224404266,80.94659572345725,4.728850446428572,9.000624106678794
constant-motion,12,2022,169,11,75.45674676047297,59.56047512473749,148.86747444750984,185.79830802945904,7.396449704142012,11.829658845561308,-1.1242603550295858,94.04953530681092,6.984773773657173,64.55765638164047,139.22061402782572,4.397218096050853,9.538151224187535
constant-motion,12,2023,351,17,64.36855121991879,54.75705608389663,123.91116322853004,147.15913785186646,6.096866096866097,9.252704232414198,-0.5982905982905983,66.18180302085955,6.459861616033393,56.32072773800565,75.77856832044777,4.695388779009907,8.48451659379968
constant-motion,12,2024,252,15,67.15037246403907,58.367599173198535,122.8599755717526,157.2523307860037,11.031746031746032,15.275252316519468,0.753968253968254,73.87166242577408,11.59267570635992,64.2497761762536,84.88686785135201,8.077491495833604,15.36408437761069
